# I filter YALO 8/98
    6948   0.000
    6976   0.238
    6990   0.232
    7019   0.901
    7047   2.251
    7062   4.063
    7069   4.968
    7091   7.686
    7106   9.952
    7130  14.941
    7153  20.158
    7169  25.151
    7192  30.140
    7208  35.133
    7224  40.125
    7247  45.115
    7263  50.108
    7279  55.100
    7303  60.090
    7333  65.076
    7363  70.062
    7393  75.049
    7423  80.035
    7467  85.015
    7496  87.729
    7525  89.534
    7568  91.333
    7617  92.447
    7653  93.112
    7695  93.548
    7751  94.659
    7814  94.857
    7877  95.056
    7884  95.053
    7954  94.793
    8010  94.541
    8080  93.373
    8128  91.987
    8170  91.514
    8219  91.491
    8226  91.715
    8276  92.829
    8339  93.482
    8388  92.778
    8436  91.165
    8485  90.916
    8527  91.806
    8562  91.790
    8597  90.865
    8625  91.079
    8646  91.524
    8667  89.924
    8700  85.137
    8712  80.131
    8716  75.129
    8721  70.127
    8726  65.124
    8731  60.122
    8736  55.120
    8741  50.118
    8746  45.116
    8751  40.113
    8756  35.111
    8761  30.109
    8772  25.103
    8777  20.101
    8782  15.099
    8801  10.090
    8820   5.082
    8847   3.024
    8875   1.648
    8923   0.944
    8965   0.243
    9000   0.000
